"label","vowel_label.1tier","F1.1tier","F2.1tier","participant_id","context","position","dominance","awareness","vowel_label.2tier","F1.2tier","F2.2tier","vowel_label","detailed_context","stimuli_id","mel_F1.1tier","mel_F2.1tier","mel_F1.2tier","mel_F2.2tier"
"P1218-3","v",633.4975049,1747.593333,"P12","em","",63.75,137,"x",633.4975049,1747.593333,NA,"em",18,724.9258935824,1408.03076378118,724.9258935824,1408.03076378118
"P1219-1","v",612.432659,1713.690285,"P12","em","",63.75,137,"x",612.432659,1713.690285,NA,"em",19,707.015581403756,1392.34127123211,707.015581403756,1392.34127123211
"P1219-2","v",669.4854238,1628.629763,"P12","em","",63.75,137,"x",669.4854238,1628.629763,NA,"em",19,754.879779077081,1351.98622638248,754.879779077081,1351.98622638248
"P1219-3","v",689.5592461,1588.555512,"P12","em","",63.75,137,"x",689.5592461,1588.555512,NA,"em",19,771.247683399831,1332.46023520256,771.247683399831,1332.46023520256
"P1220-1","v",611.6205021,1713.034352,"P12","em","",63.75,137,"x",611.6205021,1713.034352,NA,"em",20,706.319305454475,1392.03555321691,706.319305454475,1392.03555321691
"P1220-2","v",593.1358257,1825.935899,"P12","em","",63.75,137,"x",593.1358257,1825.935899,NA,"em",20,690.354408786855,1443.46989866283,690.354408786855,1443.46989866283
"P1220-3","v",535.6557764,1920.592178,"P12","em","",63.75,137,"x",535.6557764,1920.592178,NA,"em",20,639.210611043344,1484.85062698689,639.210611043344,1484.85062698689
"P1221-1","v",772.4799235,1454.052804,"P12","em","",63.75,137,"x",772.4799235,1454.052804,NA,"em",21,836.443976052602,1264.33001068119,836.443976052602,1264.33001068119
"P1221-2","v",700.725086,1474.828476,"P12","em","",63.75,137,"x",700.725086,1474.828476,NA,"em",21,780.250104530862,1275.12685427915,780.250104530862,1275.12685427915
"P1221-3","v",738.6778981,1368.534384,"P12","em","",63.75,137,"x",738.6778981,1368.534384,NA,"em",21,810.321727178356,1218.76258411789,810.321727178356,1218.76258411789
"P1222-1","v",667.0199294,1530.649747,"P12","em","",63.75,137,"x",667.0199294,1530.649747,NA,"em",22,752.852927687935,1303.63335942832,752.852927687935,1303.63335942832
"P1222-2","v",666.1819367,1403.853471,"P12","em","",63.75,137,"x",666.1819367,1403.853471,NA,"em",22,752.163192136798,1237.80619243648,752.163192136798,1237.80619243648
"P1222-3","v",658.7241254,1553.943947,"P12","em","",63.75,137,"x",658.7241254,1553.943947,NA,"em",22,746.006109097784,1315.31873498979,746.006109097784,1315.31873498979
"P1223-1","v",553.0544921,1889.076374,"P12","em","",63.75,137,"x",553.0544921,1889.076374,NA,"em",23,654.938266932829,1471.24126811818,654.938266932829,1471.24126811818
"P1223-2","v",652.5960883,1630.914024,"P12","em","",63.75,137,"x",652.5960883,1630.914024,NA,"em",23,740.921525588415,1353.08907634693,740.921525588415,1353.08907634693
"P1223-3","v",659.8665078,1597.392863,"P12","em","",63.75,137,"x",659.8665078,1597.392863,NA,"em",23,746.95143549215,1336.79541936792,746.95143549215,1336.79541936792
"P1224-1","v",646.0935348,1748.439545,"P12","em","",63.75,137,"x",646.0935348,1748.439545,NA,"em",24,735.500943740076,1408.41958407985,735.500943740076,1408.41958407985
"P1224-2","v",594.4084287,1700.317532,"P12","em","",63.75,137,"x",594.4084287,1700.317532,NA,"em",24,691.460826863234,1386.09200222061,691.460826863234,1386.09200222061
"P1224-3","v",655.0359185,1596.904147,"P12","em","",63.75,137,"x",655.0359185,1596.904147,NA,"em",24,742.948667496053,1336.55611448384,742.948667496053,1336.55611448384
"P1225-1","v",736.1458243,1622.270476,"P12","em","",63.75,137,"x",736.1458243,1622.270476,NA,"em",25,808.3402944921,1348.91023054715,808.3402944921,1348.91023054715
"P1225-2","v",623.9851187,1764.348542,"P12","em","",63.75,137,"x",623.9851187,1764.348542,NA,"em",25,716.873315094119,1415.70459752793,716.873315094119,1415.70459752793
"P1225-3","v",717.1106148,1698.751137,"P12","em","",63.75,137,"x",717.1106148,1698.751137,NA,"em",25,793.331791738147,1385.35772778113,793.331791738147,1385.35772778113
"P1226-1","v",706.4831869,1709.315917,"P12","em","",63.75,137,"x",706.4831869,1709.315917,NA,"em",26,784.864547850961,1390.30088828287,784.864547850961,1390.30088828287
